Title,Artist,Period,Complexity,Relevance
Ivan Rodin,Abram Efimovich Arkhipov,Expressionism,8,1
The Life of the Virgin,Adriaen Isenbrant,Renaissance,2,9
"Christ Crowned with Thorns (Ecce Homo), and the Mourning Virgin",Adriaen Isenbrant,Renaissance,8,3
Man Weighing Gold,Adriaen Isenbrant,Renaissance,4,1
The Trinity,Agnolo Gaddi,Gothic,8,10
Saint Margaret and the Dragon,Agnolo Gaddi,Gothic,2,1
A Man Riding a Horse,Anthony van Dyck,Baroque,2,8
Study Head of a Young Woman,Anthony van Dyck,Baroque,4,6
Saint Rosalie Interceding for the Plague-stricken of Palermo,Anthony van Dyck,Baroque,8,5
Study Head of an Old Man with a White Beard,Anthony van Dyck,Baroque,5,5
Virgin and Child with Saint Catherine of Alexandria,Anthony van Dyck,Baroque,8,5
A Man Mounting a Horse,Anthony van Dyck,Baroque,2,5
Queen Henrietta Maria,Anthony van Dyck,Baroque,8,4
"James Stuart (1612-1655), Duke of Richmond and Lennox",Anthony van Dyck,Baroque,10,2
Lucas van Uffel (died 1637),Anthony van Dyck,Baroque,9,2
"Portrait of a Woman, Called the Marchesa Durazzo",Anthony van Dyck,Baroque,9,1
By the Seashore,Auguste Renoir,Impressionism,7,10
The Bay of Naples,Auguste Renoir,Impressionism,6,9
In the Meadow,Auguste Renoir,Impressionism,7,9
Still Life with Peaches,Auguste Renoir,Impressionism,6,7
Bouquet of Chrysanthemums,Auguste Renoir,Impressionism,6,6
"Eugene Murer (Hyacinthe-Eugene Meunier, 1841-1906)",Auguste Renoir,Impressionism,4,5
Still Life with Flowers and Prickly Pears,Auguste Renoir,Impressionism,6,3
"Tilla Durieux (Ottilie Godeffroy, 1880-1971)",Auguste Renoir,Impressionism,8,2
"The Farm at Les Collettes, Cagnes",Auguste Renoir,Impressionism,6,2
"Madame Edouard Bernier (Marie-Octavie-Stephanie Laurens, 1838-1920)",Auguste Renoir,Impressionism,6,1
Christ Enthroned with Saints,Bernardo Daddi,Gothic,2,1
Saint Reparata before the Emperor Decius,Bernardo Daddi,Gothic,3,1
Virgin and Child Enthroned,Bohemian Painter,Gothic,2,1
The Letter,Camille Corot,Realism,4,10
A Woman Reading,Camille Corot,Realism,4,10
The Ferryman,Camille Corot,Realism,5,9
A Lane through the Trees,Camille Corot,Realism,5,9
Reverie,Camille Corot,Realism,4,9
Ville-d'Avray,Camille Corot,Realism,6,9
The Gypsies,Camille Corot,Realism,6,8
Sibylle,Camille Corot,Realism,7,8
The Environs of Paris,Camille Corot,Realism,4,7
Italian Landscape,Camille Corot,Realism,1,7
"Cote des Grouettes, near Pontoise",Camille Pissarro,Impressionism,6,7
The Public Garden at Pontoise,Camille Pissarro,Impressionism,6,6
Barges at Pontoise,Camille Pissarro,Impressionism,5,6
The Boulevard Montmartre on a Winter Morning,Camille Pissarro,Impressionism,7,6
"Jalais Hill, Pontoise",Camille Pissarro,Impressionism,8,5
"Morning, An Overcast Day, Rouen",Camille Pissarro,Impressionism,6,5
Two Young Peasant Women,Camille Pissarro,Impressionism,9,4
"A Cowherd at Valhermeil, Auvers-sur-Oise",Camille Pissarro,Impressionism,7,1
"Washerwoman, Study",Camille Pissarro,Impressionism,6,1
A Washerwoman at Eragny,Camille Pissarro,Impressionism,4,1
Piazza San Marco,Canaletto (Giovanni Antonio Canal),Baroque,8,9
Warwick Castle,Canaletto (Giovanni Antonio Canal),Baroque,5,9
"The Grand Canal, Venice, Looking Southeast, with the Campo della Carita to the Right",Canaletto (Giovanni Antonio Canal),Baroque,6,7
"Campo Sant'Angelo, Venice",Canaletto (Giovanni Antonio Canal),Baroque,6,6
"The Grand Canal, Venice, Looking South toward the Rialto Bridge",Canaletto (Giovanni Antonio Canal),Baroque,6,5
"Campo Santa Maria Zobenigo, Venice",Canaletto (Giovanni Antonio Canal),Baroque,6,1
Imaginary View with a Tomb by the Lagoon,Canaletto (Giovanni Antonio Canal),Baroque,3,1
Saint George,Carlo Crivelli,Renaissance,5,10
Pieta,Carlo Crivelli,Renaissance,6,9
Saint Dominic,Carlo Crivelli,Renaissance,5,9
Madonna and Child Enthroned,Carlo Crivelli,Renaissance,6,2
Saint Catherine Disputing and Two Donors,Cenni di Francesco di Ser Cenni,Gothic,5,1
Apple Blossoms,Charles-Francois Daubigny,Realism,7,9
The Seine: Morning,Charles-Francois Daubigny,Realism,5,7
Landscape on a River,Charles-Francois Daubigny,Realism,2,4
Portejoie on the Seine,Charles-Francois Daubigny,Realism,3,3
Boats on the Seacoast at Etaples,Charles-Francois Daubigny,Realism,4,3
The Hamlet of Optevoz,Charles-Francois Daubigny,Realism,7,2
The Banks of the Oise,Charles-Francois Daubigny,Realism,5,1
A River Landscape with Storks,Charles-Francois Daubigny,Realism,3,1
Landscape with a Sunlit Stream,Charles-Francois Daubigny,Realism,5,1
The Green Wave,Claude Monet,Impressionism,5,10
The Parc Monceau,Claude Monet,Impressionism,6,10
Chrysanthemums,Claude Monet,Impressionism,8,10
The Four Trees,Claude Monet,Impressionism,7,10
Apples and Grapes,Claude Monet,Impressionism,7,10
Water Lilies,Claude Monet,Impressionism,10,10
Bouquet of Sunflowers,Claude Monet,Impressionism,8,8
La Grenouillere,Claude Monet,Impressionism,8,8
The Path through the Irises,Claude Monet,Impressionism,10,8
