Title,Artist,Period,Complexity,Relevance
A Ship in a Stormy Sea,Ivan Konstantinovich Aivazovsky (Hovhannes Aivazian),Impressionism,1,2
Saint Giles with Christ Triumphant over Satan and the Mission of the Apostles,Miguel Alcaniz (or Miquel Alcanyis),Renaissance,9,1
Flora and Zephyr,Jacopo Amigoni,Baroque,10,1
Saint Alexander,Fra Angelico (Guido di Pietro),Renaissance,1,7
The Crucifixion,Fra Angelico (Guido di Pietro),Renaissance,4,8
The Nativity,Zanobi Strozzi,Renaissance,2,8
Portrait of a Young Man,Antonello da Messina (Antonello di Giovanni d'Antonio),Renaissance,2,6
Portrait of a Married Couple (Lorenz Kraffter and Honesta Merz?),Ulrich Apt the Elder,Renaissance,4,1
Ivan Rodin,Abram Efimovich Arkhipov,Expressionism,8,1
Family Group in a Landscape,Jacques d'Arthois|Flemish Painter,Baroque,10,1
Eve with Cain and Abel,Bachiacca (Francesco d'Ubertino Verdi),Renaissance,3,8
Madonna and Child,Bachiacca (Francesco d'Ubertino Verdi),Renaissance,7,9
"Portrait of a Man, Possibly a Botanist",David Bailly,Baroque,7,2
Boatmen of Barcelona,Dionisio Baixeras y Verdaguer,Impressionism,10,2
Saint John on Patmos,Hans Baldung (called Hans Baldung Grien),Renaissance,8,2
Madonna and Child with Saints Philip and Agnes,Donato de' Bardi,Renaissance,4,3
A Footman Sleeping,Charles Bargue,Impressionism,3,2
A Bashi-Bazouk,Charles Bargue,Impressionism,4,4
Scenes from the Life of Christ,Giovanni Baronzio,Gothic,5,2
Portrait of a Man,Barrois,Neoclassicism,1,10
Portrait of a Woman,John Barry,Neoclassicism,1,10
"Portrait of a Man, Said to Be John Durham",John Barry,Neoclassicism,1,3
"The Artist's Wife (Perie, 1849-1887) Reading",Albert Bartholome,Impressionism,5,3
Madonna and Child with the Young Saint John the Baptist,Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),Renaissance,5,3
Saint Dominic Resuscitating Napoleone Orsini,Bartolomeo degli Erri,Renaissance,4,3
The Betrayal of Christ,Bartolomeo di Tommaso,Renaissance,3,4
The Lamentation and the Entombment,Bartolomeo di Tommaso,Renaissance,3,1
Joan of Arc,Jules Bastien-Lepage,Impressionism,10,10
Diana and Cupid,Pompeo Batoni,Neoclassicism,10,2
Porte de la Reine at Aigues-Mortes,Jean-Frederic Bazille,Realism,8,1
In the Sun,Charles-Edouard de Beaumont,Impressionism,7,10
Miss Chambers,Isabella Beetham,Neoclassicism,1,1
Chancellor Leonhard von Eck (1480-1550),Barthel Beham,Renaissance,4,1
"Charles Coguin, Abbot of Anchin",Jean Bellegambe,Renaissance,4,1
The Le Cellier Altarpiece,Jean Bellegambe,Renaissance,7,1
Madonna Adoring the Sleeping Child,Giovanni Bellini,Renaissance,5,1
The Circumcision,Giovanni Bellini,Renaissance,8,7
Pirna: The Obertor from the South,Bernardo Bellotto,Baroque,6,1
Vaprio d'Adda,Bernardo Bellotto,Baroque,7,1
Judith,Benjamin-Constant (Jean-Joseph-Benjamin Constant),Impressionism,8,8
"Madame Philippe Panon Desbassayns de Richemont (Jeanne Egle Mourgue, 1778-1855) and Her Son, Eugene (1800-1859)",Marie Guillelmine Benoist,Romanticism,9,1
The Lamentation,Ambrosius Benson,Renaissance,7,4
"Sunday at the Church of Saint-Philippe-du-Roule, Paris",Jean Beraud,Impressionism,6,1
A Windy Day on the Pont des Arts,Jean Beraud,Impressionism,4,1
Rest,Nicolaes Berchem,Baroque,3,10
Madonna and Child with Angels,Bernardino da Genoa,Renaissance,6,4
Ravine at Sorrento,Edouard Bertin,Romanticism,3,1
Still Life with Lobster and Fruit,Abraham van Beyeren,Baroque,8,1
Saint Nicholas Providing Dowries,Bicci di Lorenzo,Renaissance,4,5
Saint Nicholas Resuscitating Three Youths,Bicci di Lorenzo,Renaissance,4,5
A Young Woman and a Cavalier,Cornelis Bisschop,Baroque,8,5
The Angel Appearing to Zacharias,William Blake,Neoclassicism,3,5
Angelica and Medoro,Jacques Blanchard,Baroque,10,8
The Outer Harbor of Brest,Henri Joseph van Blarenberghe,Neoclassicism,8,6
The Temptation of Saint Anthony,Herri met de Bles,Renaissance,2,8
Moses Striking the Rock,Abraham Bloemaert,Renaissance,8,1
Island of the Dead,Arnold Bocklin,Impressionism,8,8
Roman Landscape,Arnold Bocklin,Realism,3,1
A Man with the Initials AC,John Bogle,Neoclassicism,1,1
A Woman with the Initials MCC,John Bogle,Neoclassicism,1,1
Petronella Elias (1648-1667) with a Basket of Fruit,Ferdinand Bol,Baroque,7,1
Gossip,Giovanni Boldini,Impressionism,2,10
"Mrs. Charles Warren-Cram (Ella Brooks Carter, 1846-1896)",Giovanni Boldini,Impressionism,4,1
"Consuelo Vanderbilt (1876-1964), Duchess of Marlborough, and Her Son, Lord Ivor Spencer-Churchill (1898-1956)",Giovanni Boldini,Expressionism,10,1
The Dispatch-Bearer,Giovanni Boldini,Impressionism,3,1
"Henry Hope (1735/36-1811), after Jones",Henry Bone,Romanticism,1,7
"Thomas Howard (1585-1646), Second Earl of Arundel, after Rubens",Henry Bone,Romanticism,1,1
"George IV (1762-1830) as Prince Regent, after Lawrence",Henry Bone,Romanticism,1,1
"Matthew Baillie (1761-1823), F.R.S., after Hoppner",Henry Bone,Romanticism,1,1
"Charles X (1757-1836), King of France, after Gerard",Henry Bone,Romanticism,3,6
"Algernon Percy (1602-1668), Tenth Earl of Northumberland, after Van Dyck",Henry Bone,Romanticism,1,2
The Horse Fair,Rosa Bonheur,Realism,10,8
Weaning the Calves,Rosa Bonheur,Impressionism,7,7
A Limier Briquet Hound,Rosa Bonheur,Realism,4,2
Roadside Halt,Richard Parkes Bonington,Romanticism,4,1
Roman Girl at a Fountain,Leon Bonnat,Impressionism,9,1
John Taylor Johnston (1820-1893),Leon Bonnat,Impressionism,9,1
An Egyptian Peasant Woman and Her Child,Leon Bonnat,Realism,10,1
The Disillusioned Medea,Paulus Bor,Baroque,9,1
Curiosity,Gerard ter Borch the Younger,Baroque,6,9
Portrait of a Seated Man,Gerard ter Borch the Younger,Baroque,3,3
The Van Moerkerken Family,Gerard ter Borch the Younger,Baroque,3,6
A Woman Playing the Theorbo-Lute and a Cavalier,Gerard ter Borch the Younger,Baroque,3,4
A Young Woman at Her Toilet with a Maid,Gerard ter Borch the Younger,Baroque,4,5
Barnyard Scene,Anthonie van Borssom,Baroque,6,7
The Adoration of the Magi,Hieronymus Bosch,Renaissance,6,8
Count Alexander Ivanovich Sollogoub (1788-1844),Domenico Bossi,Romanticism,1,1
The Last Communion of Saint Jerome,Botticelli (Alessandro di Mariano Filipepi),Renaissance,2,4
Three Miracles of Saint Zenobius,Botticelli (Alessandro di Mariano Filipepi),Renaissance,8,1
Madonna and Child Enthroned with Saints and Angels,Francesco Botticini (Francesco di Giovanni),Renaissance,10,1
Imaginary Landscape with the Palatine Hill from Campo Vaccino,Francois Boucher,Baroque,7,4
The Interrupted Sleep,Francois Boucher,Baroque,7,10
The Toilette of Venus,Francois Boucher,Baroque,8,7
Allegory of Autumn,Francois Boucher,Baroque,10,4
Allegory of Lyric Poetry,Francois Boucher,Baroque,10,4
The Dispatch of the Messenger,Francois Boucher,Neoclassicism,2,7
Virgin and Child with the Young Saint John the Baptist and Angels,Francois Boucher,Neoclassicism,3,1
Shepherd's Idyll,Francois Boucher,Neoclassicism,10,5
Washerwomen,Francois Boucher,Neoclassicism,10,9
"Jupiter, in the Guise of Diana, and Callisto",Francois Boucher,Neoclassicism,6,1
On the Beach at Trouville,Eugene Boudin,Realism,3,1
Beaulieu: The Bay of Fourmis,Eugene Boudin,Impressionism,7,1
Village by a River,Eugene Boudin,Realism,4,7
Young Mother Gazing at Her Child,William Bouguereau,Impressionism,9,1
The Proposal,William Bouguereau,Impressionism,10,9
Breton Brother and Sister,William Bouguereau,Impressionism,9,3
The Baptism of Christ,Sebastien Bourdon,Baroque,9,8
A Classical Landscape,Sebastien Bourdon,Baroque,7,7
Head of Saint John the Baptist on a Charger,Aelbert Bouts,Renaissance,2,2
The Man of Sorrows,Aelbert Bouts,Renaissance,3,8
Virgin and Child,Dieric Bouts,Renaissance,2,7
The Judgment of Solomon,Leonaert Bramer,Baroque,8,1
The Preaching of John the Baptist,Bartholomeus Breenbergh,Baroque,6,1
The Spinner,Quirijn van Brekelenkam,Baroque,5,10
Sentimental Conversation,Quirijn van Brekelenkam,Baroque,3,1
The Weeders,Jules Breton,Realism,8,9
A Peasant Girl Knitting,Jules Breton,Realism,5,2
Kynance,John Brett,Impressionism,2,8
Joseph Interpreting the Dreams of Pharaoh,Jorg Breu the Younger,Renaissance,10,1
"Mary, Queen of Scots, with Her Son, James",British Painter,Expressionism,2,4
A Peasant Woman Picking Fleas off a Dog,Adriaen Brouwer,Baroque,1,1
The Smokers,Adriaen Brouwer,Baroque,4,9
The Harvesters,Pieter Bruegel the Elder,Renaissance,10,7
A Woodland Road with Travelers,Jan Brueghel the Elder,Baroque,6,1
Aeneas and the Sibyl in the Underworld,Jan Brueghel the Younger,Baroque,3,1
A Basket of Flowers,Jan Brueghel the Younger,Baroque,5,7
The Crucifixion with the Virgin and Saint John,Hendrick ter Brugghen,Baroque,10,1
Portrait of a Woman of the Slosgin Family of Cologne,Barthel Bruyn the Younger,Renaissance,4,1
"Portrait of a Woman, Said to Be Emma (1765-1815), Lady Hamilton",Adam Buck,Romanticism,1,1
Adam; Eve,Giuliano di Piero di Simone Bugiardini,Renaissance,9,10
Madonna and Child Enthroned with Saints Mary Magdalen and John the Baptist,Giuliano di Piero di Simone Bugiardini,Renaissance,10,1
The Love Song,Sir Edward Burne-Jones,Realism,9,8
Echo,Alexandre Cabanel,Impressionism,7,10
Catharine Lorillard Wolfe (1828-1887),Alexandre Cabanel,Impressionism,10,1
The Birth of Venus,Alexandre Cabanel,Impressionism,10,3
Florentine Poet,Alexandre Cabanel,Realism,4,4
Herodias,Francesco Cairo,Baroque,6,8
"Louis XVI (1754-1793), King of France",Antoine Francois Callet,Neoclassicism,1,2
Man in Prayer,Rogier van der Weyden,Renaissance,2,9
Piazza San Marco,Canaletto (Giovanni Antonio Canal),Baroque,8,9
Baron Joseph Dominique Louis (1755-1837),Pierre Laurent Canon,Realism,1,1
A State Yacht and Other Craft in Calm Water,Jan van de Cappelle,Baroque,7,1
The Musicians,Caravaggio (Michelangelo Merisi),Renaissance,9,10
The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),Renaissance,9,7
"Mrs. William Astor (Caroline Webster Schermerhorn, 1831-1908)",Carolus-Duran (Charles-Auguste-Emile Durant),Impressionism,10,1
The Meditation on the Passion,Vittore Carpaccio,Renaissance,7,1
The Coronation of the Virgin,Annibale Carracci,Renaissance,9,2
The First Communion,Eugene Carriere,Impressionism,6,9
Self-Portrait,Eugene Carriere,Impressionism,3,8
The Adoration of the Shepherds,Catena (Vincenzo di Biagio),Renaissance,10,2
Portrait of a Venetian Senator,Catena (Vincenzo di Biagio),Renaissance,6,1
Saint Catherine Disputing and Two Donors,Cenni di Francesco di Ser Cenni,Gothic,5,1
A Woman with a Dog,Giacomo Ceruti,Baroque,8,2
Apples,Paul Cezanne,Impressionism,2,10
Bathers,Paul Cezanne,Impressionism,4,1
The Card Players,Paul Cezanne,Impressionism,7,9
"Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle, as a Monk",Paul Cezanne,Realism,6,1
"Antoine Dominique Sauveur Aubert (born 1817), the Artist's Uncle",Paul Cezanne,Realism,7,2
Gardanne,Paul Cezanne,Impressionism,7,9
The Gulf of Marseilles Seen from L'Estaque,Paul Cezanne,Impressionism,8,2
Gustave Boyer (b. 1840) in a Straw Hat,Paul Cezanne,Realism,4,6
The House with the Cracked Walls,Paul Cezanne,Impressionism,7,7
"Madame Cezanne (Hortense Fiquet, 1850-1922) in the Conservatory",Paul Cezanne,Impressionism,8,6
"Madame Cezanne (Hortense Fiquet, 1850-1922) in a Red Dress",Paul Cezanne,Impressionism,9,6
Mont Sainte-Victoire and the Viaduct of the Arc River Valley,Paul Cezanne,Impressionism,7,1
Mont Sainte-Victoire,Paul Cezanne,Expressionism,7,7
The Pool at Jas de Bouffan,Paul Cezanne,Impressionism,7,4
Rocks at Fontainebleau,Paul Cezanne,Impressionism,8,7
Still Life with a Ginger Jar and Eggplants,Paul Cezanne,Impressionism,7,3
Still Life with Apples and a Pot of Primroses,Paul Cezanne,Impressionism,8,3
Still Life with Apples and Pears,Paul Cezanne,Impressionism,5,7
"Still Life with Jar, Cup, and Apples",Paul Cezanne,Impressionism,6,6
View of the Domaine Saint-Joseph,Paul Cezanne,Impressionism,7,1
Jean-Baptiste Colbert (1619-1683),Philippe de Champaigne,Baroque,7,6
The Silver Tureen,Jean Simeon Chardin,Baroque,8,7
Soap Bubbles,Jean Simeon Chardin,Baroque,6,8
Bathsheba at Her Bath,Giuseppe Bartolomeo Chiari,Baroque,9,1
Portrait of a Carthusian,Petrus Christus,Renaissance,2,1
Head of Christ,Petrus Christus,Renaissance,1,7
The Annunciation,Petrus Christus,Renaissance,7,8
The Adoration of the Shepherds with Saint Catherine of Alexandria,Cigoli (Ludovico Cardi),Renaissance,10,1
Madonna and Child with Saints Francis and Clare,Cima da Conegliano (Giovanni Battista Cima),Renaissance,2,1
"Three Saints: Roch, Anthony Abbot, and Lucy",Cima da Conegliano (Giovanni Battista Cima),Renaissance,9,1
Still Life with a Skull and a Writing Quill,Pieter Claesz,Baroque,2,1
The Ford,Claude Lorrain (Claude Gellee),Baroque,8,10
Pastoral Landscape: The Roman Campagna,Claude Lorrain (Claude Gellee),Baroque,9,1
Sunrise,Claude Lorrain (Claude Gellee),Baroque,9,10
The Trojan Women Setting Fire to Their Fleet,Claude Lorrain (Claude Gellee),Baroque,9,1
View of La Crescenza,Claude Lorrain (Claude Gellee),Baroque,4,1
Guillaume Bude (1467-1540),Jean Clouet,Renaissance,3,1
"Charles de Cosse (1506-1563), Count of Brissac",Jean Clouet,Renaissance,1,3
Vanitas Still Life,Edwaert Collier,Baroque,9,3
"Mrs. James Pulham Sr. (Frances Amys, ca. 1766-1856)",John Constable,Romanticism,6,3
Salisbury Cathedral from the Bishop's Grounds,John Constable,Romanticism,8,3
Stoke-by-Nayland,John Constable,Romanticism,3,9
"Henry Carey (1596-1661), Second Earl of Monmouth",Samuel Cooper,Baroque,1,5
"Portrait of a Woman, Said to Be Lucy Percy (1600?-1660), Countess of Carlisle",Samuel Cooper,Baroque,1,5
Portrait of a Man with Gloves,Corneille de Lyon,Renaissance,1,1
"Anne de Pisseleu (1508-1576), Duchesse d'Etampes",Corneille de Lyon,Renaissance,1,1
Portrait of a Man with a Black-Plumed Hat,Corneille de Lyon,Renaissance,1,6
Toussaint Lemaistre (1807/8-1888),Camille Corot,Romanticism,3,1
Hagar in the Wilderness,Camille Corot,Romanticism,10,1
Bacchante by the Sea,Camille Corot,Realism,4,1
The Gypsies,Camille Corot,Impressionism,6,8
Bacchante in a Landscape,Camille Corot,Realism,4,1
Boatman among the Reeds,Camille Corot,Realism,6,1
"The Burning of Sodom (formerly ""The Destruction of Sodom"")",Camille Corot,Realism,9,2
The Environs of Paris,Camille Corot,Realism,4,7
The Ferryman,Camille Corot,Realism,5,9
Fontainebleau: Oak Trees at Bas-Breau,Camille Corot,Romanticism,4,1
Girl Weaving a Garland,Camille Corot,Realism,3,1
Honfleur: Calvary,Camille Corot,Romanticism,3,2
Italian Landscape,Camille Corot,Romanticism,1,7
Lake Albano and Castel Gandolfo,Camille Corot,Romanticism,3,1
A Lane through the Trees,Camille Corot,Realism,5,9
The Letter,Camille Corot,Realism,4,10
Mother and Child,Camille Corot,Realism,2,7
The Muse: History,Camille Corot,Realism,4,1
A Pond in Picardy,Camille Corot,Realism,5,1
Portrait of a Child,Camille Corot,Romanticism,2,1
Reverie,Camille Corot,Realism,4,9
River with a Distant Tower,Camille Corot,Realism,6,2
Sibylle,Camille Corot,Realism,7,8
